Ciudad,Mes,Nmero Extranjeros,Homicidios,Hurtos,Delitos Sexuales,Departamento,Temperatura,Dolar,Pib Ponderado,Entradas Extranjeros Zona,Distancia a accseos,importancia accesos,Establecimientos de turismo,N Habitaciones,N Camas,Distancia al TOP,Proxy Pobreza,Gasto Promedio Diario,Gasto Alojamiento Diario,Gasto Transporte Diario,Gasto alimetos Diario,Otros Gastos Diario,Gasto Promedio Viaje,Gasto  Alojamiento Viaje,Gasto Transporte Viaje,Gasto alimetos Viaje,Otros Gastos Viaje,Inflacion,Nmero Vias,Eventos,Area Urbana,Area Rural,Area Agua
cartago,7-2023,384.0,8,42,2,valledelcauca,24.03847059962703,4089.3,341.6845989534481,17881.0,289.777408569086,0.15675198151747263,33.4,174.0,325.0,0.6156711438790473,0.0023910414056727554,91019.02350151984,18523.638873479456,15756.285484579057,27393.761317484033,27950.92711606907,340199.29763155524,96724.21329166675,75151.83349631476,134461.77630691222,136647.84367297788,11.78492,10,0.0,6.026711764705883,1.624851372549021,0.0686513725490196
girardot,7-2023,100.0,4,139,9,cundinamarca,24.03847059962342,4089.3,222.18813179797104,0.0,245.39778330898233,1.8796154628982686e-06,101.60000000000001,2223148.3999999994,1439.4,0.61014634829631,0.001711324705377413,114819.47075887743,19616.562504681748,26425.94024753634,29685.705049723932,38854.18934173707,592099.2311821602,96724.21329166675,119990.91822065819,138940.96171648568,169978.35311916168,11.78492,9,0.0,14.48888000000001,4.09198000000001,0.04960313725490195
manizales,7-2023,1378.0,2,49,16,caldas,19.271135,4089.3,1101.6689631781167,0.0,256.35665155803883,0.0,151.29139302531962,688.1594816514989,1302.8045109835994,0.6050576904965141,0.0024239461096914735,97191.894,20329.556,18629.263,27847.928,30385.147,367178.047,76802.36,70378.878,105205.767,114791.043,11.78492,9,0.0,21.58897058823529,6.088402745098037,0.020199999999999996
valledupar,7-2023,386.0,9,368,27,cesar,32.2,4089.3,812.1155480726584,39.0,576.4816325210337,3.496084760990783e-05,64.6,583.4000000000015,1050.0,0.7406713268768164,0.0014924918275142857,80110.563,11451.282,19321.986,23960.483,25376.812,476805.713,68156.262,115001.483,142609.099,151038.868,11.78492,8,0.0,29.37909960784311,7.471792156862742,0.09639999999999999
guadalajaradebuga,7-2023,219.0,8,65,5,valledelcauca,24.038470599568655,4089.3,517.3025045290767,17881.0,350.4059794862404,0.15675198151747263,15.178832289284486,124.70568776628352,330.62565070727885,0.6399242010122721,0.004011807394851113,108426.11721385493,19624.129065743047,18119.525769837383,29685.681283524773,43210.70598863885,482473.2615229167,96724.21329166675,84767.54776540583,135333.2628374313,183598.2487886548,11.78492,7,0.0,5.11963568627451,1.2854482352941177,0.04149999999999998
barrancabermeja,7-2023,79.0,10,86,14,santander,24.03847060000979,4089.3,2071.443015407719,733.0,304.4612213538038,0.002796867808792626,34.126907565637005,440.32634420422255,806.0532554322634,0.6305000623288458,0.01017723075120356,112672.5321507604,19593.2954682498,18671.27362667195,29685.681283524773,34811.992667801045,519635.70004020183,96724.21329166675,93720.40870917951,149089.61909879648,174113.4268150669,11.78492,2,2.0,12.35804274509804,3.227869019607843,0.042800000000000005
sabanalarga,7-2023,56.0,2,19,1,antioquia,24.038470599915005,4089.3,12.458710843178201,62577.0,308.4565329225616,0.4335756784203497,9.215664062766024,58.28143779208767,79.65446822406682,0.6226122650850509,0.0001245260906473648,111391.4181341953,19593.2954682498,18138.1476276602,29685.681283524773,41131.10929926515,594108.5019792987,96724.21329166675,91980.03515023667,149397.2259773195,207495.7025132609,11.78492,3,6.0,0.2287992156862746,0.06172196078431336,9.999999999998899e-05
mosquera,7-2023,127.0,0,162,2,cundinamarca,24.038470599684953,4089.3,368.36471213675185,0.0,200.66773446133746,1.8796154628982686e-06,5.0,35.200000000004366,42.80000000000001,0.6034334215330771,0.0028775795404864532,125794.1402663319,23979.20511294383,23762.90468211341,33751.61517745584,48395.367964752106,591777.5966570363,99395.61436922244,101306.63931698541,142593.45679755014,183785.00328792498,11.78492,6,0.0,3.896372941176466,0.9781576470588229,0.003300000000000025
maicao,7-2023,185.0,0,54,4,laguajira,28.5,4089.3,178.47325697861874,4423.0,695.4339984149403,0.12272455094644008,12.79999999999999,187.60000000000582,262.59999999999997,0.7960430211642273,0.0014421265623651084,119909.3709964546,19593.2954682498,28636.35067073183,29685.681283524773,44105.62354199742,650087.8645508593,96724.21329166675,137212.61552911592,144980.3643170543,231636.6832504551,11.78492,2,0.0,9.253612156862738,2.411311764705884,0.1365
lavirginia,7-2023,31.0,0,11,0,risaralda,24.03847059964708,4089.3,48.61530055115144,2143.0,278.182285481911,0.00795528448517064,6.0,61.599999999998545,91.0,0.6115180265840581,0.00150372101921285,91262.94797527349,18790.51803999486,15338.680423857159,27392.038160724554,29113.168624820315,330848.19495690183,93646.56190197429,70324.80898467619,135126.98568893858,133381.71732599518,11.78492,12,0.0,1.1690498039215687,0.393393725490196,0.0027137254901960506
